DATE,QTAXTOTALQTAXCAT1USYES
2009-01-01,265264
2009-04-01,256373
2009-07-01,261553
2009-10-01,264098
2010-01-01,263472
2010-04-01,263625
2010-07-01,270280
2010-10-01,267287
2011-01-01,277615
2011-04-01,279802
2011-07-01,276371
2011-10-01,282510
2012-01-01,282986
2012-04-01,287690
2012-07-01,289578
2012-10-01,294929
2013-01-01,301811
2013-04-01,308716
2013-07-01,310651
2013-10-01,303979
2014-01-01,308600
2014-04-01,312616
2014-07-01,317922
2014-10-01,320476
2015-01-01,325351
2015-04-01,332960
2015-07-01,332700
2015-10-01,333901
2016-01-01,333065
2016-04-01,337357
2016-07-01,340867
2016-10-01,342066
2017-01-01,345687
2017-04-01,344074
2017-07-01,356728
2017-10-01,374096
2018-01-01,369962
2018-04-01,363006
2018-07-01,372333
2018-10-01,374499
2019-01-01,386055
2019-04-01,400930
2019-07-01,398217
2019-10-01,400703
2020-01-01,404527
2020-04-01,340798
2020-07-01,456430
2020-10-01,423921
2021-01-01,438145
2021-04-01,454373
2021-07-01,461443.0
2021-10-01,484458.0
2022-01-01,512371.0
2022-04-01,515947.0
2022-07-01,493714.0
2022-10-01,495371.0
2023-01-01,493515.0
2023-04-01,476593.0
